,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Brazil,Brazil,GPE,0.12593434,0.68445707,en,6.00000000,4008003-1,3469034,X,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
San Diego,San Diego,GPE,0.08039923,0.88276816,en,6.00000000,,-1,,,,,,
Kashmir,Kashmir,LOC,0.42082783,0.96419675,en,5.90000000,,-1,,,,,,
Rajasthan,Rajasthan,GPE,0.17244479,0.58253724,en,5.90000000,4076502-7,1258899,X,26.00000000,74.00000000,ASIA,India,SAS
B.C.,B.C.,GPE,-0.05065913,0.83954802,en,5.90000000,,-1,,,,,,
the West Coast,the West Coast,LOC,0.13847962,0.51116771,en,5.80000000,,-1,,,,,,
North Africa,North Africa,GPE,0.10658525,0.74157088,en,5.80000000,,-1,,,,,,
Chile,Chile,GPE,-0.12725780,0.30344828,en,5.80000000,4009929-5,3895114,X,-30.00000000,-71.00000000,SOUTH-AMERICA,Chile,SWS
Balkans,Balkans,LOC,0.04137931,0.28620690,en,5.80000000,,-1,,,,,,
Antarctic,Antarctic,LOC,-0.01346439,0.66496865,en,5.80000000,,-1,,,,,,
Saskatchewan,Saskatchewan,GPE,0.11835349,0.32774917,en,5.80000000,4105365-5,6141242,X,54.00000000,-106.90000000,NORTH-AMERICA,Canada,NWN
Israel,Israel,GPE,-0.05757945,0.76964528,en,5.70000000,4027808-6,294640,X,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
Chicago,Chicago,GPE,0.12251195,1.11367244,en,5.60000000,4009921-0,4887398,X,41.85002900,-87.65004900,NORTH-AMERICA,United States,ENA
Louisiana,Louisiana,GPE,-0.08265152,1.07000000,en,5.50000000,4036394-6,4331987,X,31.69999900,-92.99999900,NORTH-AMERICA,United States,CNA
Alaska,Alaska,GPE,0.44244108,0.70639731,en,5.50000000,4001016-8,5879092,X,64.80000000,-150.80000000,NORTH-AMERICA,United States,NWN
Manhattan,Manhattan,GPE,0.15616066,0.45161521,en,5.30000000,,-1,,,,,,
Kyiv,Kyiv,GPE,0.20655885,0.88672507,en,5.30000000,4030522-3,703448,X,50.45472200,30.52388800,EUROPE,Ukraine,WCE
Scotland,Scotland,GPE,0.11037539,0.53381896,en,5.20000000,4053233-1,2638360,X,56.00000000,-4.00000000,EUROPE,United Kingdom,NEU
Berlin,Berlin,GPE,0.03727273,0.24090909,en,5.00000000,4005728-8,2950157,X,52.50000000,13.41666900,EUROPE,Germany,WCE
Houston,Houston,GPE,0.07474747,1.25056566,en,5.00000000,,-1,,,,,,
the Middle East,the Middle East,LOC,-0.04066667,0.22833333,en,5.00000000,,-1,,,,,,
Netherlands,Netherlands,GPE,-0.21533333,0.31400000,en,5.00000000,4042203-3,2750405,X,52.50000000,5.75000000,EUROPE,The Netherlands,NEU
Alberta,Alberta,GPE,0.06320346,0.81702742,en,4.90000000,4001049-1,5883102,X,52.28332900,-117.46899900,NORTH-AMERICA,Canada,NWN
Las Vegas,Las Vegas,GPE,0.15303030,0.59349103,en,4.90000000,,-1,,,,,,
MIAMI,MIAMI,GPE,-0.06510417,0.43026620,en,4.80000000,,-1,,,,,,
Haryana,Haryana,GPE,0.21975338,0.60157157,en,4.70000000,4239291-3,1270260,X,29.00000000,76.00000000,ASIA,India,SAS
Nepal,Nepal,GPE,-0.00709220,0.43617021,en,4.70000000,4041612-4,1282988,X,28.00000000,84.00000000,ASIA,Nepal,TIB
Mediterranean,Mediterranean,LOC,-0.00905797,0.43795290,en,4.60000000,,-1,,,,,,
Ontario,Ontario,GPE,-0.05766908,0.35748792,en,4.60000000,4102089-3,6093943,X,49.25014000,-84.49983000,NORTH-AMERICA,Canada,ENA
Europes,Europes,LOC,0.08855820,0.58637566,en,4.50000000,,-1,,,,,,
the Atlantic Ocean,the Atlantic Ocean,LOC,0.17830688,0.75126984,en,4.50000000,,-1,,,,,,
U.S,U.S,GPE,0.00002646,0.84587302,en,4.50000000,,-1,,,,,,
Delhi-NCR,Delhi-NCR,GPE,0.27102420,0.63824289,en,4.30000000,,-1,,,,,,
Pacific,Pacific,LOC,0.24007937,0.46428571,en,4.20000000,,-1,,,,,,
Bordeaux,Bordeaux,GPE,-0.08333333,0.66071429,en,4.20000000,4088072-2,3031582,X,44.84044000,-0.58050000,EUROPE-AFRICA,France,MED
Karnataka,Karnataka,GPE,0.17857143,0.26190476,en,4.20000000,4110022-0,1267701,X,13.50000000,76.00000000,ASIA,India,SAS
Seoul,Seoul,GPE,0.03571429,0.22420635,en,4.20000000,4122021-3,1835848,X,37.56826000,126.97782900,ASIA,South Korea,EAS
Adelaide,Adelaide,GPE,0.12003968,0.40178571,en,4.20000000,4079623-1,2078025,X,-34.92866000,138.59863000,OCEANIA,Australia,SAU
ISTANBUL,ISTANBUL,GPE,0.06502010,0.45391328,en,4.20000000,,-1,,,,,,
Maine,Maine,GPE,0.24849541,0.84922395,en,4.10000000,4114929-4,4971068,X,45.50032000,-69.24976900,NORTH-AMERICA,United States,ENA
Denmark,Denmark,GPE,0.09711752,0.22291205,en,4.10000000,4010877-6,2623032,X,56.00000000,10.00000000,EUROPE,Denmark,NEU
Sydney,Sydney,GPE,-0.09247967,0.65040650,en,4.10000000,4058708-3,2147714,X,-33.86784900,151.20732000,OCEANIA,,EAU
Pakistan,Pakistan,GPE,0.30284553,0.86585366,en,4.10000000,4075812-6,1168579,X,30.00000000,70.00000000,ASIA,Pakistan,WCA
Kedah,Kedah,GPE,0.12804878,0.34756098,en,4.10000000,4260409-6,1733048,X,6.00000000,100.66666900,ASIA,Malaysia,SEA
Laredo,Laredo,GPE,0.05833333,0.32500000,en,4.00000000,,-1,,,,,,
Bangladesh,Bangladesh,GPE,0.19884259,0.62444444,en,4.00000000,4130903-0,1210997,X,24.00000000,90.00000000,ASIA,Bangladesh,SAS
South Asia,South Asia,LOC,-0.05897727,0.46859848,en,4.00000000,,-1,,,,,,
Chennai,Chennai,GPE,-0.01282051,0.45940171,en,3.90000000,5351481-6,1264527,X,13.08777700,80.27833300,ASIA,India,SAS
May.,May.,GPE,0.29166667,0.61858974,en,3.90000000,,-1,,,,,,
Gaza,Gaza,GPE,-0.19153069,0.51825952,en,3.90000000,,-1,,,,,,
LOS ANGELES,LOS ANGELES,GPE,-0.12258772,0.64013158,en,3.80000000,,-1,,,,,,
the Northern Hemisphere,the Northern Hemisphere,LOC,0.23385167,0.97368421,en,3.80000000,,-1,,,,,,
Dublin,Dublin,GPE,0.02684211,0.49333333,en,3.80000000,4013170-1,2964574,X,53.33306000,-6.24889000,EUROPE,Ireland,NEU
Virginia,Virginia,GPE,0.04070142,0.52734878,en,3.70000000,4063592-2,6254928,X,37.54811900,-77.44674900,NORTH-AMERICA,United States,ENA
Punjab,Punjab,GPE,0.35887592,0.64388821,en,3.70000000,,-1,,,,,,
Plains,Plains,LOC,0.04995905,0.49836200,en,3.70000000,,-1,,,,,,
ROME,ROME,GPE,0.06306306,0.45045045,en,3.70000000,,-1,,,,,,
Nigeria,Nigeria,GPE,0.10763889,0.61111111,en,3.60000000,4042300-1,2328926,X,10.00000000,8.00000000,AFRICA,Nigeria,WAF
Northern Ireland,Northern Ireland,GPE,0.18452381,0.51547619,en,3.50000000,4075462-5,2641364,X,54.50000000,-6.50000000,EUROPE,United Kingdom,NEU
Greenland,Greenland,GPE,0.18827381,0.68755952,en,3.50000000,4022113-1,3425505,X,72.00000000,-40.00000000,POLAR,Greenland,GIC
New Jersey,New Jersey,GPE,0.09506494,0.81164502,en,3.50000000,4042004-8,5101760,X,40.16705900,-74.49987000,NORTH-AMERICA,United States,ENA
Hawaii,Hawaii,GPE,0.16862745,0.40980392,en,3.40000000,4023877-5,5855797,X,20.75028000,-156.50028000,PACIFIC,,NPO
BERLIN,BERLIN,GPE,0.16176471,0.25882353,en,3.40000000,,-1,,,,,,
Ahmedabad,Ahmedabad,GPE,0.09383754,0.21708683,en,3.40000000,4000813-7,1279233,X,23.02579000,72.58726000,ASIA,India,SAS
Slovakia,Slovakia,GPE,0.00868984,0.28141711,en,3.40000000,,-1,,,,,,
the U.S. Southwest,the U.S. Southwest,LOC,-0.13174020,0.95588235,en,3.40000000,,-1,,,,,,
Potomac River,Potomac River,LOC,-0.06827731,0.67839636,en,3.40000000,,-1,,,,,,
Jharkhand,Jharkhand,GPE,-0.19526144,0.35702614,en,3.40000000,4364512-4,1444365,X,23.75000000,85.50000000,ASIA,India,SAS
Montana,Montana,GPE,0.12411765,0.29058824,en,3.40000000,4040138-8,5667009,X,47.50000000,-109.75101900,NORTH-AMERICA,United States,WNA
Ouyen,Ouyen,GPE,-0.04779412,0.63235294,en,3.40000000,,-1,,,,,,
Tarai,Tarai,GPE,-0.04779412,0.06985294,en,3.40000000,,-1,,,,,,
Algeria,Algeria,GPE,-0.07437558,0.63842204,en,3.40000000,4001179-3,2589581,X,28.00000000,3.00000000,AFRICA,Algeria,SAH
Barcelona,Barcelona,GPE,0.24833333,0.67666667,en,3.40000000,4004503-1,3128760,X,41.38879000,2.15899000,EUROPE-AFRICA,Spain,MED
Pilbara,Pilbara,GPE,0.12436869,0.31565657,en,3.30000000,,-1,,,,,,
Denver,Denver,GPE,-0.02525253,0.75883838,en,3.30000000,,-1,,,,,,
Croatia,Croatia,GPE,0.04520202,0.72828283,en,3.30000000,4073841-3,3202326,X,45.16667000,15.50000000,EUROPE,Croatia,WCE
Quebec,Quebec,GPE,0.18037518,0.20562771,en,3.30000000,,-1,,,,,,
North,North,GPE,0.10286458,0.57291667,en,3.20000000,,-1,,,,,,
Portugal,Portugal,GPE,-0.22291667,0.68888889,en,3.20000000,4046843-4,2264397,X,39.50000000,-8.00000000,EUROPE-AFRICA,Portugal,MED
North Atlantic,North Atlantic,LOC,0.13194444,0.51128472,en,3.20000000,,-1,,,,,,
South America,South America,LOC,0.21230159,0.80026455,en,3.15000000,,-1,,,,,,
Hollywood,Hollywood,GPE,-0.00181772,0.77338710,en,3.10000000,,-1,,,,,,
North Dakota,North Dakota,GPE,0.04354839,0.43494624,en,3.10000000,4075498-4,5690763,X,47.50027000,-100.80000000,NORTH-AMERICA,United States,CNA
DC,DC,GPE,-0.00851254,0.18145161,en,3.10000000,,-1,,,,,,
East Coast,East Coast,LOC,-0.11730205,1.71114370,en,3.10000000,,-1,,,,,,
PHOENIX,PHOENIX,GPE,0.01203704,0.22037037,en,3.00000000,,-1,,,,,,
Turkey,Turkey,GPE,1.05000000,1.26666667,en,3.00000000,4061163-2,298795,X,39.05901000,34.91154900,EUROPE-AFRICA,Turkey,MED
et al,et al,GPE,0.13793103,0.25862069,en,2.90000000,,-1,,,,,,
Norway,Norway,GPE,-0.13362069,0.46551724,en,2.90000000,4042640-3,3144096,X,62.00000000,10.00000000,EUROPE,Norway,NEU
