,phrase,label,sentiment,subjectivity,language,count
Nike LeBron,Nike LeBron,PERSON,0.14705882352941177,0.19607843137254902,en,1.7
Vlad Goldin,Vlad Goldin,PERSON,0.27941176470588236,0.8088235294117647,en,1.7
Padang Terap,Padang Terap,PERSON,0.10294117647058823,0.5147058823529412,en,1.7
Caron Butler,Caron Butler,PERSON,0.27941176470588236,0.8088235294117647,en,1.7
Mat Santamouris,Mat Santamouris,PERSON,0.0,0.0,en,1.7
Xiu Mutha Fuckin,Xiu Mutha Fuckin,PERSON,0.0,0.0,en,1.7
マルコメ フリーズドライ,マルコメ フリーズドライ,PERSON,0.0,0.0,en,1.7
Davis Guggenheim,Davis Guggenheim,PERSON,0.4411764705882353,0.8823529411764706,en,1.7
Laurie David,Laurie David,PERSON,0.4411764705882353,0.8823529411764706,en,1.7
Lawrence Bender,Lawrence Bender,PERSON,0.4411764705882353,0.8823529411764706,en,1.7
Xabi Alonso,Xabi Alonso,PERSON,0.19642857142857145,0.6636904761904763,en,1.6
Alvaro Arbeloa,Alvaro Arbeloa,PERSON,0.8541666666666666,1.2708333333333333,en,1.6
Jose Mourinho,Jose Mourinho,PERSON,0.8541666666666666,1.2708333333333333,en,1.6
Kevin W,Kevin W,PERSON,0.13952020202020202,0.42108585858585856,en,1.6
Cristiano Ronaldo,Cristiano Ronaldo,PERSON,-0.19270833333333334,0.9027777777777776,en,1.6
Riccardo Calafiori,Riccardo Calafiori,PERSON,-0.04166666666666669,0.44791666666666663,en,1.6
Charles Spencer,Charles Spencer,PERSON,0.46875,1.140625,en,1.6
Gurnoor Brar,Gurnoor Brar,PERSON,0.7500000000000001,1.25,en,1.6
Tom Brady,Tom Brady,PERSON,0.9185606060606061,1.1174242424242422,en,1.6
Felix Agu,Felix Agu,PERSON,-3.469446951953614e-17,0.5,en,1.6
Bobby Pierce,Bobby Pierce,PERSON,0.0,0.0,en,1.6
Bill Gifford,Bill Gifford,PERSON,0.0,0.0,en,1.6
Jill Biden,Jill Biden,PERSON,0.35937499999999994,0.9583333333333333,en,1.6
Paul Grinvalds,Paul Grinvalds,PERSON,0.37499999999999994,0.5625,en,1.6
Reggie Dinkins,Reggie Dinkins,PERSON,0.0,0.0,en,1.4
Sydney Sweeney,Sydney Sweeney,PERSON,0.014880952380952384,0.5734126984126985,en,1.4
Klay Thompson,Klay Thompson,PERSON,0.5714285714285715,0.6428571428571429,en,1.4
Ilya Rozanov,Ilya Rozanov,PERSON,0.10119047619047619,1.2334656084656086,en,1.4
Alec Burks,Alec Burks,PERSON,0.05102040816326531,0.18367346938775508,en,1.4
Nicholas Hoult,Nicholas Hoult,PERSON,-0.16071428571428573,1.6428571428571428,en,1.4
Robert Duvall,Robert Duvall,PERSON,0.642857142857143,1.2341269841269842,en,1.4
Shane Hollander,Shane Hollander,PERSON,0.4761904761904762,0.5502645502645502,en,1.4
Edmund Fitzgerald,Edmund Fitzgerald,PERSON,0.0,0.0,en,1.3000000000000003
Gordon Ramsay Burger,Gordon Ramsay Burger,PERSON,1.1538461538461535,0.9230769230769229,en,1.3000000000000003
Terrence Tysall,Terrence Tysall,PERSON,0.49999999999999983,0.6923076923076922,en,1.3000000000000003
Brooks Nader,Brooks Nader,PERSON,0.019230769230769232,0.36538461538461536,en,1.3
Lindsay Lohan,Lindsay Lohan,PERSON,0.019230769230769232,0.36538461538461536,en,1.3
Ludi Akue,Ludi Akue,PERSON,-0.009615384615384612,0.5384615384615384,en,1.3
Davide Ancelotti,Davide Ancelotti,PERSON,0.0879120879120879,0.5091575091575092,en,1.3
Dimitri Malashenkov,Dimitri Malashenkov,PERSON,0.15384615384615385,0.38076923076923075,en,1.3
Frank Hemmings,Frank Hemmings,PERSON,0.0,0.0,en,1.3
Han Nguyen,Han Nguyen,PERSON,-0.11538461538461535,0.6025641025641025,en,1.3
Kristi Noem,Kristi Noem,PERSON,0.07692307692307693,0.15384615384615385,en,1.3
van Daalen,van Daalen,PERSON,0.1923076923076923,0.44230769230769224,en,1.3
Andrew Wiggins,Andrew Wiggins,PERSON,-0.5372960372960371,1.2132867132867131,en,1.3
Paris Ow Yang,Paris Ow Yang,PERSON,0.0,0.0,en,1.3
Chuck Norris,Chuck Norris,PERSON,0.3589743589743589,0.5128205128205128,en,1.3
Matt Henry,Matt Henry,PERSON,0.16503496503496504,0.609090909090909,en,1.3
Vitaly Klitschko,Vitaly Klitschko,PERSON,0.13141025641025642,0.40705128205128205,en,1.3
Kyle Jamieson,Kyle Jamieson,PERSON,0.16503496503496504,0.609090909090909,en,1.3
Mitchell Santner,Mitchell Santner,PERSON,0.16503496503496504,0.609090909090909,en,1.3
Mohamed Salah,Mohamed Salah,PERSON,0.8076923076923077,1.1538461538461537,en,1.3
Proxima Centauri,Proxima Centauri,PERSON,0.2878205128205128,0.9628205128205128,en,1.3
Hannah Green,Hannah Green,PERSON,-0.3076923076923077,0.4615384615384615,en,1.3
